time,anger,fear,happiness ,no specific emotion,sadness
2021-06-08,10975,10939,12667,6538,1755
2021-06-09,12796,12742,13349,6811,1805
2021-06-10,11879,12970,13158,6705,1837
2021-06-11,10371,11166,12794,6165,1723
2021-06-12,7617,7454,6747,3807,1302
2021-06-13,8343,8238,6788,3896,1373
2021-06-14,11070,12158,13730,6294,1955
2021-06-15,12332,13811,14112,7542,2328
2021-06-16,13743,12410,12610,7039,2526
2021-06-17,10059,11136,11348,6211,1973
2021-06-18,10179,11170,11352,5957,1850
2021-06-19,7968,8025,6607,3546,1463
2021-06-20,6996,7085,6332,3372,1499
2021-06-21,10301,11367,11034,5587,1853
2021-06-22,10906,12858,12474,6319,1797
2021-06-23,10362,13012,11389,6554,1760
2021-06-24,10129,12847,10714,6067,1772
2021-06-25,9970,11131,9962,5539,2041
2021-06-26,10665,8919,6491,4147,1825
2021-06-27,8789,8320,6400,3772,1428
2021-06-28,10211,11656,10499,5717,1929
2021-06-29,10367,12057,11328,5737,1754
2021-06-30,10107,11271,11823,5688,1754
2021-07-01,8627,9484,10185,5128,1551
2021-07-02,8226,8533,9684,4739,1478
2021-07-03,6686,6384,5872,3208,1214
2021-07-04,6323,6500,5904,3066,1207
2021-07-05,8705,9833,7772,4172,1555
2021-07-06,10696,12353,10961,5994,1964
2021-07-07,11506,13296,10621,6294,2177
2021-07-08,14020,16446,11849,7422,2318
2021-07-09,11680,13985,10430,6074,1923
2021-07-10,9561,9885,6887,4249,1666
2021-07-11,10843,13073,7560,4513,1859
2021-07-12,14236,16274,11322,7021,2397
2021-07-13,14055,16519,11287,7021,2189
2021-07-14,16024,17661,12167,7816,2567
2021-07-15,18244,18859,12327,8528,3031
2021-07-16,20925,20607,12790,8822,3152
2021-07-17,19403,16611,10048,7010,2617
2021-07-18,16352,15297,9463,6742,2380
2021-07-19,24620,23113,16484,10327,3418
2021-07-20,28284,25016,16339,11565,3972
2021-07-21,26559,27576,15756,10563,4321
2021-07-22,30656,29461,16397,11595,4543
2021-07-23,29276,26871,16087,10827,4166
2021-07-24,22541,18993,10292,7419,3171
2021-07-25,21231,17364,9671,7271,2994
2021-07-26,24886,25317,17002,12075,3860
2021-07-27,28746,28061,16738,12966,4311
2021-07-28,31935,29291,18474,13249,4761
2021-07-29,36402,31969,19336,14001,5007
2021-07-30,37381,35693,19212,14124,5550
2021-07-31,27705,24957,14001,9984,4328
2021-08-01,25790,23299,13297,9076,4238
2021-08-02,33386,31566,20652,14465,5159
2021-08-03,34163,31691,19994,14638,5360
2021-08-04,41112,34925,21042,16156,6281
2021-08-05,36939,33290,20926,15074,5542
2021-08-06,33592,31301,20170,13692,5082
2021-08-07,27852,24905,15832,9957,4482
2021-08-08,29074,24978,15124,9749,4295
2021-08-09,37047,35815,22045,14519,5492
2021-08-10,38760,36310,20850,14575,5744
2021-08-11,37934,37440,21189,15221,5678
2021-08-12,37154,36438,22372,15117,5538
2021-08-13,32537,34305,21770,13922,5368
2021-08-14,24438,23501,13907,8859,3789
2021-08-15,20107,19225,11301,7338,3220
2021-08-16,23158,25603,18030,11241,4027
2021-08-17,32744,33023,25025,16788,5802
2021-08-18,31906,32718,21965,15095,5441
2021-08-19,29739,30210,20031,13006,5583
2021-08-20,31053,29641,19976,12422,5102
2021-08-21,27246,24648,14145,10312,4464
2021-08-22,24995,23465,13051,8864,4444
2021-08-23,35573,34062,30936,14751,5975
2021-08-24,33806,32787,21800,14732,5642
2021-08-25,33796,33679,21320,14604,5817
2021-08-26,31214,30889,19050,12784,5866
2021-08-27,29169,30921,18013,12889,5644
2021-08-28,24186,23072,12261,9233,4683
2021-08-29,22796,21194,10742,8124,4653
2021-08-30,28823,27670,17187,12062,5598
2021-08-31,27551,26500,17387,11461,5133
